Workers,Sleep time,FTP Timeout,Updates,Jobs,Errors
1,5,10,6,6,0
1,10,10,4,4,0
1,5,5,6,6,0
1,10,5,4,4,0
2,5,10,11,11,1
2,10,10,8,8,1
2,10,5,8,8,1
2,5,5,11,11,1
3,10,10,12,12,2
3,10,5,12,12,1
3,5,10,16,15,2
3,5,5,16,16,2
4,10,5,16,13,3
4,5,5,21,21,3
4,10,10,16,13,3
4,5,10,21,21,3
5,10,10,16,16,4
5,5,5,21,20,4
5,5,10,26,26,0
5,10,5,17,17,4
6,5,10,31,31,4
6,10,10,24,24,0
6,5,5,26,26,1
6,10,5,24,24,0
7,5,5,37,37,1
7,10,10,23,23,6
7,5,10,34,32,6
7,10,5,27,24,5
8,5,10,42,42,0
8,5,5,41,41,3
8,10,5,32,32,0
8,10,10,25,25,7
9,5,10,46,46,1
9,5,5,46,46,7
9,10,10,31,31,8
9,10,5,36,36,0
10,5,5,51,51,0
10,10,10,35,35,6
10,10,5,40,40,0
10,5,10,51,51,1
11,10,5,35,34,10
11,5,5,56,56,0
11,5,10,50,50,10
11,10,10,44,44,0
12,5,10,62,61,0
12,10,10,43,42,8
12,5,5,55,50,11
12,10,5,48,48,0
13,10,10,44,44,9
13,5,10,60,59,11
13,5,5,65,65,1
13,10,5,44,44,6
14,10,5,46,46,10
14,10,10,48,47,11
14,5,10,61,57,8
14,5,5,71,71,6
15,10,5,53,53,8
15,5,10,65,65,12
15,5,5,69,64,5
15,10,10,47,46,7
16,10,5,53,53,0
16,5,5,77,74,6
16,10,10,17,17,1
16,5,10,79,79,0
17,5,10,76,76,8
17,10,5,47,47,4
17,10,10,54,53,5
17,5,5,85,85,0
18,10,5,58,58,4
18,10,10,63,63,0
18,5,10,80,80,3
18,5,5,87,87,9
19,10,5,59,59,6
19,10,10,58,58,8
19,5,10,91,89,7
19,5,5,81,81,5
20,10,5,61,61,7
20,5,5,81,81,9
20,5,10,92,92,3
20,10,10,64,64,4
21,5,5,90,90,7
21,10,10,67,67,6
21,5,10,70,70,5
21,10,5,66,66,8
22,10,5,73,73,7
22,10,10,70,70,6
22,5,5,91,91,5
22,5,10,24,21,2
23,10,5,75,75,12
23,10,10,73,73,4
23,5,5,95,95,0
23,5,10,72,71,5
24,5,5,102,102,12
24,5,10,57,51,15
24,10,5,75,75,4
24,10,10,76,76,9
25,10,5,79,79,5
25,5,10,51,50,7
25,10,10,81,80,8
25,5,5,90,90,9
26,5,10,55,52,2
26,10,10,83,83,4
26,5,5,114,113,4
26,10,5,82,82,9
27,10,5,80,78,6
27,10,10,87,87,6
27,5,10,61,58,7
27,5,5,112,112,8
28,5,10,65,62,0
28,5,5,118,116,5
28,10,5,86,86,6
28,10,10,90,90,4
29,5,5,135,135,0
29,5,10,60,58,1
29,10,5,94,94,8
29,10,10,85,85,6
30,5,10,62,61,1
30,5,5,117,111,6
30,10,5,95,93,4
30,10,10,80,79,5
31,5,5,127,125,4
31,10,5,96,95,6
31,10,10,92,89,4
31,5,10,63,63,11
32,5,5,113,106,7
32,10,5,94,89,0
32,5,10,69,58,12
32,10,10,99,99,3
33,5,5,133,133,8
33,10,5,102,101,7
33,10,10,101,101,8
33,5,10,74,67,7
34,10,5,105,105,6
34,10,10,106,105,8
34,5,10,69,66,2
34,5,5,140,131,8
35,10,5,115,115,4
35,10,10,106,105,8
35,5,10,78,60,11
35,5,5,120,119,0
36,5,10,56,51,25
36,10,5,91,91,8
36,5,5,95,95,2
36,10,10,112,111,5
37,10,5,100,99,10
37,5,10,76,70,6
37,5,5,153,143,5
37,10,10,111,103,4
38,5,5,144,142,9
38,5,10,82,66,14
38,10,5,120,118,4
38,10,10,117,116,6
39,10,10,125,125,3
39,5,5,154,152,13
39,5,10,89,85,5
39,10,5,120,120,9
40,5,5,137,136,5
40,10,10,96,96,11
40,10,5,113,110,4
40,5,10,85,80,8
41,5,10,90,74,9
41,10,10,119,111,6
41,10,5,120,117,9
41,5,5,144,142,10
42,5,10,87,84,13
42,10,5,97,92,11
42,10,10,103,103,3
42,5,5,120,118,8
43,5,10,123,104,25
43,10,5,107,103,7
43,5,5,112,112,8
43,10,10,121,120,3
44,5,10,132,132,4
44,5,5,151,147,4
44,10,10,126,121,1
44,10,5,128,128,5
45,10,10,124,124,0
45,5,10,135,130,4
45,5,5,146,143,6
45,10,5,147,147,0
46,5,5,111,110,0
46,10,5,126,119,9
46,5,10,142,141,5
46,10,10,86,84,4
47,10,10,100,100,8
47,5,5,138,133,13
47,10,5,86,83,14
47,5,10,145,145,6
48,5,5,165,155,7
48,10,5,137,134,2
48,5,10,156,149,0
48,10,10,116,110,2
49,5,5,138,123,15
49,10,5,111,101,14
49,5,10,125,123,13
49,10,10,124,117,3
50,10,10,126,125,6
50,5,5,167,158,4
50,5,10,135,130,4
50,10,5,120,117,12
